treatment,treatment_slug,diagnosis_category,diagnosis_slug,decisions,overturned,overturn_rate,year_min,year_max,medical_necessity,experimental,urgent,decisions_last_5y,overturned_last_5y,apellica_page
Other,other,Orth/Musculoskeletal,orth-musculoskeletal,1812,572,0.3157,2001,2025,950,849,13,338,111,https://apellica.com/appeal-outcomes/california-imr/other/orth-musculoskeletal
Weight Control,weight-control,Endocrine/Metabolic,endocrine-metabolic,1371,1200,0.8753,2003,2026,1327,44,0,1355,1188,https://apellica.com/appeal-outcomes/california-imr/weight-control/endocrine-metabolic
RTC,rtc,Mental Disorder,mental-disorder,1351,1083,0.8016,2019,2026,1349,2,0,1127,890,https://apellica.com/appeal-outcomes/california-imr/rtc/mental-disorder
Anti-virals,anti-virals,Infectious Disease,infectious-disease,1310,1082,0.8260,2003,2025,1296,14,0,20,14,https://apellica.com/appeal-outcomes/california-imr/anti-virals/infectious-disease
RTC/ Admit,rtc-admit,Mental Disorder,mental-disorder,1031,426,0.4132,2002,2020,1016,4,11,0,0,https://apellica.com/appeal-outcomes/california-imr/rtc-admit/mental-disorder
Other,other,CNS/ Neuromusc Dis,cns-neuromusc-dis,947,524,0.5533,2001,2025,558,385,4,204,139,https://apellica.com/appeal-outcomes/california-imr/other/cns-neuromusc-dis
Viscosupp Injection,viscosupp-injection,Orth/Musculoskeletal,orth-musculoskeletal,824,774,0.9393,2018,2025,801,23,0,520,509,https://apellica.com/appeal-outcomes/california-imr/viscosupp-injection/orth-musculoskeletal
Other,other,Cardiac/Circ Problem,cardiac-circ-problem,734,317,0.4319,2001,2025,344,387,3,115,68,https://apellica.com/appeal-outcomes/california-imr/other/cardiac-circ-problem
Other,other,Cancer,cancer,713,364,0.5105,2002,2025,296,414,3,105,63,https://apellica.com/appeal-outcomes/california-imr/other/cancer
Other,other,Mental Disorder,mental-disorder,631,281,0.4453,2002,2025,530,97,4,54,30,https://apellica.com/appeal-outcomes/california-imr/other/mental-disorder
Hormones,hormones,Endocrine/Metabolic,endocrine-metabolic,547,234,0.4278,2002,2025,512,35,0,112,56,https://apellica.com/appeal-outcomes/california-imr/hormones/endocrine-metabolic
MRI,mri,Orth/Musculoskeletal,orth-musculoskeletal,527,209,0.3966,2001,2025,511,15,1,172,89,https://apellica.com/appeal-outcomes/california-imr/mri/orth-musculoskeletal
Speech Therapy,speech-therapy,Pediatrics,pediatrics,482,366,0.7593,2002,2026,479,3,0,20,14,https://apellica.com/appeal-outcomes/california-imr/speech-therapy/pediatrics
Mammography,mammography,Prevention/Good Hlth,prevention-good-hlth,473,444,0.9387,2014,2019,3,470,0,0,0,https://apellica.com/appeal-outcomes/california-imr/mammography/prevention-good-hlth
Other,other,Digestive System/ GI,digestive-system-gi,473,183,0.3869,2002,2025,224,249,0,35,19,https://apellica.com/appeal-outcomes/california-imr/other/digestive-system-gi
Appld Behav Analysis,appld-behav-analysis,Autism Spectrum,autism-spectrum,459,327,0.7124,2006,2025,435,24,0,74,34,https://apellica.com/appeal-outcomes/california-imr/appld-behav-analysis/autism-spectrum
Skin Treatment,skin-treatment,Skin Disorders,skin-disorders,448,302,0.6741,2002,2025,430,18,0,197,160,https://apellica.com/appeal-outcomes/california-imr/skin-treatment/skin-disorders
Partial Hospital,partial-hospital,Mental Disorder,mental-disorder,356,224,0.6292,2002,2025,354,0,2,101,87,https://apellica.com/appeal-outcomes/california-imr/partial-hospital/mental-disorder
Speech Therapy,speech-therapy,Autism Spectrum,autism-spectrum,354,261,0.7373,2002,2025,352,2,0,40,23,https://apellica.com/appeal-outcomes/california-imr/speech-therapy/autism-spectrum
Acute Psych/ Admit,acute-psych-admit,Mental Disorder,mental-disorder,346,192,0.5549,2002,2020,340,0,6,0,0,https://apellica.com/appeal-outcomes/california-imr/acute-psych-admit/mental-disorder
Botox Injection,botox-injection,CNS/ Neuromusc Dis,cns-neuromusc-dis,335,209,0.6239,2001,2025,116,219,0,47,39,https://apellica.com/appeal-outcomes/california-imr/botox-injection/cns-neuromusc-dis
Other,other,GU/ Kidney Disorder,gu-kidney-disorder,330,136,0.4121,2002,2025,167,160,3,64,39,https://apellica.com/appeal-outcomes/california-imr/other/gu-kidney-disorder
Genetic/Genomic Test,genetic-genomic-test,Cancer,cancer,328,161,0.4909,2018,2026,24,304,0,190,105,https://apellica.com/appeal-outcomes/california-imr/genetic-genomic-test/cancer
Other,other,Respiratory System,respiratory-system,316,149,0.4715,2002,2025,199,116,1,28,15,https://apellica.com/appeal-outcomes/california-imr/other/respiratory-system
TMS,tms,Mental Disorder,mental-disorder,314,178,0.5669,2010,2025,168,145,1,50,40,https://apellica.com/appeal-outcomes/california-imr/tms/mental-disorder
Other,other,Skin Disorders,skin-disorders,309,134,0.4337,2002,2025,236,72,1,43,15,https://apellica.com/appeal-outcomes/california-imr/other/skin-disorders
Proton Beam,proton-beam,Cancer,cancer,307,105,0.3420,2005,2025,192,115,0,156,80,https://apellica.com/appeal-outcomes/california-imr/proton-beam/cancer
Other,other,Endocrine/Metabolic,endocrine-metabolic,306,163,0.5327,2002,2025,214,91,1,40,20,https://apellica.com/appeal-outcomes/california-imr/other/endocrine-metabolic
Pet Scan,pet-scan,Cancer,cancer,305,211,0.6918,2002,2025,139,166,0,64,45,https://apellica.com/appeal-outcomes/california-imr/pet-scan/cancer
Intensive Outpt Prog,intensive-outpt-prog,Mental Disorder,mental-disorder,291,209,0.7182,2017,2025,285,0,6,93,84,https://apellica.com/appeal-outcomes/california-imr/intensive-outpt-prog/mental-disorder
RTC/Discharge,rtc-discharge,Mental Disorder,mental-disorder,283,116,0.4099,2006,2020,280,0,3,0,0,https://apellica.com/appeal-outcomes/california-imr/rtc-discharge/mental-disorder
Pain Medication,pain-medication,Orth/Musculoskeletal,orth-musculoskeletal,268,89,0.3321,2017,2025,265,3,0,82,30,https://apellica.com/appeal-outcomes/california-imr/pain-medication/orth-musculoskeletal
Diabetic Medication,diabetic-medication,Endocrine/Metabolic,endocrine-metabolic,263,198,0.7529,2017,2025,245,18,0,217,170,https://apellica.com/appeal-outcomes/california-imr/diabetic-medication/endocrine-metabolic
Lab Work,lab-work,Cancer,cancer,256,108,0.4219,2005,2024,9,247,0,7,2,https://apellica.com/appeal-outcomes/california-imr/lab-work/cancer
Chemotherapy,chemotherapy,Cancer,cancer,252,103,0.4087,2002,2021,103,149,0,13,3,https://apellica.com/appeal-outcomes/california-imr/chemotherapy/cancer
Fusion,fusion,Orth/Musculoskeletal,orth-musculoskeletal,243,68,0.2798,2003,2025,195,46,2,63,22,https://apellica.com/appeal-outcomes/california-imr/fusion/orth-musculoskeletal
Mammography,mammography,OB-GYN/ Pregnancy,ob-gyn-pregnancy,242,222,0.9174,2006,2017,3,239,0,0,0,https://apellica.com/appeal-outcomes/california-imr/mammography/ob-gyn-pregnancy
Artificial Disc Repl,artificial-disc-repl,Orth/Musculoskeletal,orth-musculoskeletal,239,23,0.0962,2005,2025,63,175,1,51,11,https://apellica.com/appeal-outcomes/california-imr/artificial-disc-repl/orth-musculoskeletal
Physical Therapy,physical-therapy,Orth/Musculoskeletal,orth-musculoskeletal,236,65,0.2754,2001,2025,224,11,1,39,9,https://apellica.com/appeal-outcomes/california-imr/physical-therapy/orth-musculoskeletal
Arthritis Rx,arthritis-rx,Orth/Musculoskeletal,orth-musculoskeletal,234,124,0.5299,2001,2025,203,31,0,9,5,https://apellica.com/appeal-outcomes/california-imr/arthritis-rx/orth-musculoskeletal
Digestion/GI Rx,digestion-gi-rx,Digestive System/ GI,digestive-system-gi,210,169,0.8048,2019,2025,196,14,0,154,124,https://apellica.com/appeal-outcomes/california-imr/digestion-gi-rx/digestive-system-gi
Gastric Bypass,gastric-bypass,Morbid Obesity,morbid-obesity,198,123,0.6212,2001,2005,155,43,0,0,0,https://apellica.com/appeal-outcomes/california-imr/gastric-bypass/morbid-obesity
Other,other,Ears/Nose/Throat,ears-nose-throat,193,81,0.4197,2002,2025,110,81,2,40,23,https://apellica.com/appeal-outcomes/california-imr/other/ears-nose-throat
Other,other,OB-GYN/ Pregnancy,ob-gyn-pregnancy,193,74,0.3834,2002,2019,117,73,3,0,0,https://apellica.com/appeal-outcomes/california-imr/other/ob-gyn-pregnancy
Other,other,Vision,vision,187,100,0.5348,2002,2025,95,90,2,24,14,https://apellica.com/appeal-outcomes/california-imr/other/vision
Hormones,hormones,Pediatrics,pediatrics,178,77,0.4326,2005,2026,175,3,0,103,41,https://apellica.com/appeal-outcomes/california-imr/hormones/pediatrics
CT Scan,ct-scan,Cardiac/Circ Problem,cardiac-circ-problem,176,34,0.1932,2002,2025,46,128,2,31,6,https://apellica.com/appeal-outcomes/california-imr/ct-scan/cardiac-circ-problem
Radiation Therapy,radiation-therapy,Cancer,cancer,169,96,0.5680,2002,2025,62,107,0,70,41,https://apellica.com/appeal-outcomes/california-imr/radiation-therapy/cancer
Other,other,Immuno Disorders,immuno-disorders,164,79,0.4817,2002,2025,115,48,1,30,22,https://apellica.com/appeal-outcomes/california-imr/other/immuno-disorders
Radiofreq Ablat,radiofreq-ablat,Orth/Musculoskeletal,orth-musculoskeletal,161,68,0.4224,2002,2025,40,121,0,70,36,https://apellica.com/appeal-outcomes/california-imr/radiofreq-ablat/orth-musculoskeletal
Psychotherapy,psychotherapy,Mental Disorder,mental-disorder,159,83,0.5220,2008,2025,152,2,5,34,27,https://apellica.com/appeal-outcomes/california-imr/psychotherapy/mental-disorder
Migraine Rx,migraine-rx,CNS/ Neuromusc Dis,cns-neuromusc-dis,159,130,0.8176,2018,2025,150,9,0,128,106,https://apellica.com/appeal-outcomes/california-imr/migraine-rx/cns-neuromusc-dis
IVIG Therapy,ivig-therapy,Immuno Disorders,immuno-disorders,158,75,0.4747,2004,2025,126,32,0,69,43,https://apellica.com/appeal-outcomes/california-imr/ivig-therapy/immuno-disorders
Other,other,Foot Disorder,foot-disorder,156,54,0.3462,2002,2025,82,74,0,23,13,https://apellica.com/appeal-outcomes/california-imr/other/foot-disorder
Epidural Injection,epidural-injection,Orth/Musculoskeletal,orth-musculoskeletal,155,70,0.4516,2002,2026,135,20,0,50,29,https://apellica.com/appeal-outcomes/california-imr/epidural-injection/orth-musculoskeletal
Sinus Surgery,sinus-surgery,Ears/Nose/Throat,ears-nose-throat,150,97,0.6467,2009,2026,99,49,2,100,85,https://apellica.com/appeal-outcomes/california-imr/sinus-surgery/ears-nose-throat
Lab Work,lab-work,Digestive System/ GI,digestive-system-gi,149,36,0.2416,2006,2025,15,133,1,19,7,https://apellica.com/appeal-outcomes/california-imr/lab-work/digestive-system-gi
Bariatric Other,bariatric-other,Morbid Obesity,morbid-obesity,149,82,0.5503,2005,2018,111,38,0,0,0,https://apellica.com/appeal-outcomes/california-imr/bariatric-other/morbid-obesity
Radiation Oncology,radiation-oncology,Cancer,cancer,148,58,0.3919,2003,2015,49,98,1,0,0,https://apellica.com/appeal-outcomes/california-imr/radiation-oncology/cancer
Occupational Therapy,occupational-therapy,Autism Spectrum,autism-spectrum,142,99,0.6972,2002,2025,128,14,0,31,14,https://apellica.com/appeal-outcomes/california-imr/occupational-therapy/autism-spectrum
Arthritis Rx,arthritis-rx,Immuno Disorders,immuno-disorders,141,91,0.6454,2002,2026,128,13,0,57,43,https://apellica.com/appeal-outcomes/california-imr/arthritis-rx/immuno-disorders
Cancer Rx,cancer-rx,Cancer,cancer,139,63,0.4532,2021,2025,82,57,0,139,63,https://apellica.com/appeal-outcomes/california-imr/cancer-rx/cancer
Investigational Tx,investigational-tx,Cancer,cancer,137,60,0.4380,2001,2019,9,128,0,0,0,https://apellica.com/appeal-outcomes/california-imr/investigational-tx/cancer
IVIG Therapy,ivig-therapy,CNS/ Neuromusc Dis,cns-neuromusc-dis,134,74,0.5522,2002,2025,90,44,0,50,31,https://apellica.com/appeal-outcomes/california-imr/ivig-therapy/cns-neuromusc-dis
Biologics,biologics,Digestive System/ GI,digestive-system-gi,132,118,0.8939,2012,2025,120,12,0,107,96,https://apellica.com/appeal-outcomes/california-imr/biologics/digestive-system-gi
Individ Counsel,individ-counsel,Mental Disorder,mental-disorder,129,87,0.6744,2003,2025,125,0,4,43,37,https://apellica.com/appeal-outcomes/california-imr/individ-counsel/mental-disorder
Surgery,surgery,Cancer,cancer,126,56,0.4444,2002,2026,76,44,6,21,13,https://apellica.com/appeal-outcomes/california-imr/surgery/cancer
MRI,mri,Cancer,cancer,120,66,0.5500,2002,2025,64,56,0,15,10,https://apellica.com/appeal-outcomes/california-imr/mri/cancer
Nerve Block,nerve-block,Orth/Musculoskeletal,orth-musculoskeletal,118,63,0.5339,2003,2025,67,51,0,76,47,https://apellica.com/appeal-outcomes/california-imr/nerve-block/orth-musculoskeletal
Other,other,Infectious Disease,infectious-disease,116,54,0.4655,2002,2025,96,20,0,6,3,https://apellica.com/appeal-outcomes/california-imr/other/infectious-disease
Cardiac Rx,cardiac-rx,Cardiac/Circ Problem,cardiac-circ-problem,113,45,0.3982,2003,2025,107,6,0,32,13,https://apellica.com/appeal-outcomes/california-imr/cardiac-rx/cardiac-circ-problem
Bariatric Lap Band,bariatric-lap-band,Morbid Obesity,morbid-obesity,112,51,0.4554,2005,2017,104,8,0,0,0,https://apellica.com/appeal-outcomes/california-imr/bariatric-lap-band/morbid-obesity
Biologics,biologics,Skin Disorders,skin-disorders,107,97,0.9065,2006,2025,103,4,0,89,83,https://apellica.com/appeal-outcomes/california-imr/biologics/skin-disorders
Lab Work,lab-work,Endocrine/Metabolic,endocrine-metabolic,107,39,0.3645,2006,2026,18,89,0,26,3,https://apellica.com/appeal-outcomes/california-imr/lab-work/endocrine-metabolic
Acupuncture,acupuncture,Orth/Musculoskeletal,orth-musculoskeletal,104,44,0.4231,2002,2024,102,2,0,15,4,https://apellica.com/appeal-outcomes/california-imr/acupuncture/orth-musculoskeletal
Other,other,Pediatrics,pediatrics,103,61,0.5922,2002,2024,86,17,0,10,7,https://apellica.com/appeal-outcomes/california-imr/other/pediatrics
MRI,mri,OB-GYN/ Pregnancy,ob-gyn-pregnancy,103,42,0.4078,2002,2018,41,62,0,0,0,https://apellica.com/appeal-outcomes/california-imr/mri/ob-gyn-pregnancy
Nerve Block,nerve-block,CNS/ Neuromusc Dis,cns-neuromusc-dis,103,71,0.6893,2010,2026,13,90,0,61,49,https://apellica.com/appeal-outcomes/california-imr/nerve-block/cns-neuromusc-dis
Drug Rehab Program,drug-rehab-program,Mental Disorder,mental-disorder,102,27,0.2647,2003,2019,96,0,6,0,0,https://apellica.com/appeal-outcomes/california-imr/drug-rehab-program/mental-disorder
Lab Work,lab-work,Cardiac/Circ Problem,cardiac-circ-problem,101,16,0.1584,2007,2025,6,95,0,18,4,https://apellica.com/appeal-outcomes/california-imr/lab-work/cardiac-circ-problem
CPM Machine,cpm-machine,Orth/Musculoskeletal,orth-musculoskeletal,101,41,0.4059,2003,2026,92,9,0,8,1,https://apellica.com/appeal-outcomes/california-imr/cpm-machine/orth-musculoskeletal
Hip Replacement,hip-replacement,Orth/Musculoskeletal,orth-musculoskeletal,100,30,0.3000,2001,2025,64,34,2,22,2,https://apellica.com/appeal-outcomes/california-imr/hip-replacement/orth-musculoskeletal
Other,other,Autism Spectrum,autism-spectrum,99,40,0.4040,2002,2025,84,13,2,31,14,https://apellica.com/appeal-outcomes/california-imr/other/autism-spectrum
Tx for Migraine,tx-for-migraine,CNS/ Neuromusc Dis,cns-neuromusc-dis,98,46,0.4694,2002,2019,79,19,0,0,0,https://apellica.com/appeal-outcomes/california-imr/tx-for-migraine/cns-neuromusc-dis
Arthroscopy,arthroscopy,Orth/Musculoskeletal,orth-musculoskeletal,96,42,0.4375,2002,2026,73,23,0,49,12,https://apellica.com/appeal-outcomes/california-imr/arthroscopy/orth-musculoskeletal
Anti-Depressants,anti-depressants,Mental Disorder,mental-disorder,94,47,0.5000,2007,2025,86,8,0,41,20,https://apellica.com/appeal-outcomes/california-imr/anti-depressants/mental-disorder
Analgesics,analgesics,Orth/Musculoskeletal,orth-musculoskeletal,93,20,0.2151,2002,2017,93,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/analgesics/orth-musculoskeletal
Neuromuscular RX,neuromuscular-rx,CNS/ Neuromusc Dis,cns-neuromusc-dis,93,76,0.8172,2019,2025,89,4,0,71,64,https://apellica.com/appeal-outcomes/california-imr/neuromuscular-rx/cns-neuromusc-dis
Glucose Monitor,glucose-monitor,Endocrine/Metabolic,endocrine-metabolic,93,71,0.7634,2020,2025,84,9,0,91,69,https://apellica.com/appeal-outcomes/california-imr/glucose-monitor/endocrine-metabolic
Knee Replacement,knee-replacement,Orth/Musculoskeletal,orth-musculoskeletal,92,24,0.2609,2002,2025,66,26,0,32,4,https://apellica.com/appeal-outcomes/california-imr/knee-replacement/orth-musculoskeletal
MRI,mri,CNS/ Neuromusc Dis,cns-neuromusc-dis,92,48,0.5217,2003,2025,81,11,0,23,15,https://apellica.com/appeal-outcomes/california-imr/mri/cns-neuromusc-dis
Biologics,biologics,Immuno Disorders,immuno-disorders,92,65,0.7065,2006,2025,84,8,0,68,50,https://apellica.com/appeal-outcomes/california-imr/biologics/immuno-disorders
Antibiotics,antibiotics,Infectious Disease,infectious-disease,90,19,0.2111,2001,2025,60,30,0,12,8,https://apellica.com/appeal-outcomes/california-imr/antibiotics/infectious-disease
Bariatric Duod Swtch,bariatric-duod-swtch,Morbid Obesity,morbid-obesity,89,67,0.7528,2005,2018,88,1,0,0,0,https://apellica.com/appeal-outcomes/california-imr/bariatric-duod-swtch/morbid-obesity
Botox Injection,botox-injection,Orth/Musculoskeletal,orth-musculoskeletal,88,43,0.4886,2002,2025,39,49,0,18,9,https://apellica.com/appeal-outcomes/california-imr/botox-injection/orth-musculoskeletal
Orthotics,orthotics,Foot Disorder,foot-disorder,85,61,0.7176,2004,2025,85,0,0,31,25,https://apellica.com/appeal-outcomes/california-imr/orthotics/foot-disorder
Insulin Pump,insulin-pump,Endocrine/Metabolic,endocrine-metabolic,83,60,0.7229,2002,2025,57,26,0,8,8,https://apellica.com/appeal-outcomes/california-imr/insulin-pump/endocrine-metabolic
ETOH Rehab Program,etoh-rehab-program,Mental Disorder,mental-disorder,83,23,0.2771,2003,2019,78,1,4,0,0,https://apellica.com/appeal-outcomes/california-imr/etoh-rehab-program/mental-disorder
Steroid Injection,steroid-injection,Orth/Musculoskeletal,orth-musculoskeletal,81,54,0.6667,2001,2025,70,11,0,39,29,https://apellica.com/appeal-outcomes/california-imr/steroid-injection/orth-musculoskeletal
Non-FDA Approved Use,non-fda-approved-use,CNS/ Neuromusc Dis,cns-neuromusc-dis,80,40,0.5000,2003,2011,65,15,0,0,0,https://apellica.com/appeal-outcomes/california-imr/non-fda-approved-use/cns-neuromusc-dis
Braces,braces,Orth/Musculoskeletal,orth-musculoskeletal,77,28,0.3636,2002,2025,71,6,0,5,1,https://apellica.com/appeal-outcomes/california-imr/braces/orth-musculoskeletal
Panniculectomy,panniculectomy,Skin Disorders,skin-disorders,76,23,0.3026,2003,2026,76,0,0,34,8,https://apellica.com/appeal-outcomes/california-imr/panniculectomy/skin-disorders
Other,other,Blood Related Disord,blood-related-disord,75,38,0.5067,2002,2025,57,18,0,11,6,https://apellica.com/appeal-outcomes/california-imr/other/blood-related-disord
Anti-inflammatories,anti-inflammatories,Orth/Musculoskeletal,orth-musculoskeletal,75,27,0.3600,2003,2025,70,5,0,4,1,https://apellica.com/appeal-outcomes/california-imr/anti-inflammatories/orth-musculoskeletal
Weight Control,weight-control,Endo/Metabolic,endo-metabolic,75,71,0.9467,2026,2026,75,0,0,75,71,https://apellica.com/appeal-outcomes/california-imr/weight-control/endo-metabolic
Emergency Room,emergency-room,Orth/Musculoskeletal,orth-musculoskeletal,74,27,0.3649,2008,2025,0,0,74,3,1,https://apellica.com/appeal-outcomes/california-imr/emergency-room/orth-musculoskeletal
Other,other,Genetic Diseases,genetic-diseases,74,37,0.5000,2002,2026,51,23,0,25,15,https://apellica.com/appeal-outcomes/california-imr/other/genetic-diseases
Emergency Room,emergency-room,Ears/Nose/Throat,ears-nose-throat,73,30,0.4110,2008,2017,0,0,73,0,0,https://apellica.com/appeal-outcomes/california-imr/emergency-room/ears-nose-throat
Panniculectomy,panniculectomy,Morbid Obesity,morbid-obesity,69,23,0.3333,2001,2019,69,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/panniculectomy/morbid-obesity
Lab Work,lab-work,Prevention/Good Hlth,prevention-good-hlth,68,19,0.2794,2010,2024,16,52,0,12,1,https://apellica.com/appeal-outcomes/california-imr/lab-work/prevention-good-hlth
Tx for Impotence,tx-for-impotence,GU/ Kidney Disorder,gu-kidney-disorder,68,44,0.6471,2002,2018,67,1,0,0,0,https://apellica.com/appeal-outcomes/california-imr/tx-for-impotence/gu-kidney-disorder
Non-FDA Approved Use,non-fda-approved-use,Orth/Musculoskeletal,orth-musculoskeletal,68,26,0.3824,2003,2011,63,5,0,0,0,https://apellica.com/appeal-outcomes/california-imr/non-fda-approved-use/orth-musculoskeletal
Pain Medication,pain-medication,CNS/ Neuromusc Dis,cns-neuromusc-dis,67,29,0.4328,2017,2025,59,8,0,30,16,https://apellica.com/appeal-outcomes/california-imr/pain-medication/cns-neuromusc-dis
Other,other,Morbid Obesity,morbid-obesity,67,26,0.3881,2001,2019,48,19,0,0,0,https://apellica.com/appeal-outcomes/california-imr/other/morbid-obesity
Inpt Admission,inpt-admission,Orth/Musculoskeletal,orth-musculoskeletal,66,17,0.2576,2003,2025,66,0,0,19,3,https://apellica.com/appeal-outcomes/california-imr/inpt-admission/orth-musculoskeletal
Prosthesis,prosthesis,Orth/Musculoskeletal,orth-musculoskeletal,66,31,0.4697,2005,2025,49,17,0,14,6,https://apellica.com/appeal-outcomes/california-imr/prosthesis/orth-musculoskeletal
Other,other,Trauma/ Injuries,trauma-injuries,65,25,0.3846,2002,2025,43,21,1,15,7,https://apellica.com/appeal-outcomes/california-imr/other/trauma-injuries
Electric Wheelchair,electric-wheelchair,CNS/ Neuromusc Dis,cns-neuromusc-dis,65,21,0.3231,2002,2025,64,1,0,10,2,https://apellica.com/appeal-outcomes/california-imr/electric-wheelchair/cns-neuromusc-dis
SCP Consult Refer,scp-consult-refer,Orth/Musculoskeletal,orth-musculoskeletal,64,37,0.5781,2002,2025,64,0,0,11,7,https://apellica.com/appeal-outcomes/california-imr/scp-consult-refer/orth-musculoskeletal
Occupational Therapy,occupational-therapy,Pediatrics,pediatrics,63,40,0.6349,2002,2023,56,7,0,3,1,https://apellica.com/appeal-outcomes/california-imr/occupational-therapy/pediatrics
GERD Procedure,gerd-procedure,Digestive System/ GI,digestive-system-gi,63,24,0.3810,2019,2025,6,57,0,42,17,https://apellica.com/appeal-outcomes/california-imr/gerd-procedure/digestive-system-gi
Lab Work,lab-work,OB-GYN/ Pregnancy,ob-gyn-pregnancy,62,24,0.3871,2006,2018,9,51,2,0,0,https://apellica.com/appeal-outcomes/california-imr/lab-work/ob-gyn-pregnancy
Oncotype DX Assay,oncotype-dx-assay,Cancer,cancer,61,29,0.4754,2007,2019,7,54,0,0,0,https://apellica.com/appeal-outcomes/california-imr/oncotype-dx-assay/cancer
Hormones,hormones,GU/ Kidney Disorder,gu-kidney-disorder,61,34,0.5574,2003,2025,55,6,0,32,21,https://apellica.com/appeal-outcomes/california-imr/hormones/gu-kidney-disorder
Bone Density Scan,bone-density-scan,Orth/Musculoskeletal,orth-musculoskeletal,60,22,0.3667,2002,2025,41,19,0,3,3,https://apellica.com/appeal-outcomes/california-imr/bone-density-scan/orth-musculoskeletal
General Anesthesia,general-anesthesia,Digestive System/ GI,digestive-system-gi,60,11,0.1833,2006,2024,60,0,0,13,7,https://apellica.com/appeal-outcomes/california-imr/general-anesthesia/digestive-system-gi
Wheelchair,wheelchair,CNS/ Neuromusc Dis,cns-neuromusc-dis,60,23,0.3833,2002,2026,60,0,0,18,7,https://apellica.com/appeal-outcomes/california-imr/wheelchair/cns-neuromusc-dis
Bariatric Roux-en-y,bariatric-roux-en-y,Morbid Obesity,morbid-obesity,60,45,0.7500,2005,2017,60,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/bariatric-roux-en-y/morbid-obesity
Cont Glucose Monitor,cont-glucose-monitor,Endocrine/Metabolic,endocrine-metabolic,60,53,0.8833,2008,2020,45,15,0,0,0,https://apellica.com/appeal-outcomes/california-imr/cont-glucose-monitor/endocrine-metabolic
Inpt Admission,inpt-admission,Cardiac/Circ Problem,cardiac-circ-problem,58,12,0.2069,2002,2025,57,1,0,16,4,https://apellica.com/appeal-outcomes/california-imr/inpt-admission/cardiac-circ-problem
Skin Treatment,skin-treatment,Immuno Disorders,immuno-disorders,58,48,0.8276,2007,2025,36,22,0,45,38,https://apellica.com/appeal-outcomes/california-imr/skin-treatment/immuno-disorders
Hormones,hormones,OB-GYN/ Pregnancy,ob-gyn-pregnancy,57,10,0.1754,2001,2018,34,23,0,0,0,https://apellica.com/appeal-outcomes/california-imr/hormones/ob-gyn-pregnancy
Mammography,mammography,Cancer,cancer,57,53,0.9298,2008,2020,2,55,0,0,0,https://apellica.com/appeal-outcomes/california-imr/mammography/cancer
Anti-Fungal,anti-fungal,Infectious Disease,infectious-disease,57,30,0.5263,2002,2024,55,2,0,8,6,https://apellica.com/appeal-outcomes/california-imr/anti-fungal/infectious-disease
Other,other,Post Surgical Comp,post-surgical-comp,56,13,0.2321,2003,2025,51,5,0,3,1,https://apellica.com/appeal-outcomes/california-imr/other/post-surgical-comp
Antibiotics,antibiotics,Digestive System/ GI,digestive-system-gi,56,41,0.7321,2003,2025,54,2,0,14,12,https://apellica.com/appeal-outcomes/california-imr/antibiotics/digestive-system-gi
Diskectomy,diskectomy,Orth/Musculoskeletal,orth-musculoskeletal,56,10,0.1786,2002,2025,32,23,1,11,3,https://apellica.com/appeal-outcomes/california-imr/diskectomy/orth-musculoskeletal
ADD/ADHD Rx,add-adhd-rx,Mental Disorder,mental-disorder,55,37,0.6727,2019,2025,54,1,0,44,28,https://apellica.com/appeal-outcomes/california-imr/add-adhd-rx/mental-disorder
Osteoporosis Rx,osteoporosis-rx,Orth/Musculoskeletal,orth-musculoskeletal,55,37,0.6727,2019,2025,52,3,0,36,25,https://apellica.com/appeal-outcomes/california-imr/osteoporosis-rx/orth-musculoskeletal
Pet Scan,pet-scan,CNS/ Neuromusc Dis,cns-neuromusc-dis,55,21,0.3818,2002,2025,11,44,0,8,4,https://apellica.com/appeal-outcomes/california-imr/pet-scan/cns-neuromusc-dis
Emergency Room,emergency-room,Digestive System/ GI,digestive-system-gi,54,31,0.5741,2008,2025,3,0,51,6,6,https://apellica.com/appeal-outcomes/california-imr/emergency-room/digestive-system-gi
Breast reduction,breast-reduction,Orth/Musculoskeletal,orth-musculoskeletal,54,25,0.4630,2002,2024,54,0,0,8,2,https://apellica.com/appeal-outcomes/california-imr/breast-reduction/orth-musculoskeletal
Behavioral Therapy,behavioral-therapy,Mental Disorder,mental-disorder,54,29,0.5370,2003,2024,50,3,1,12,7,https://apellica.com/appeal-outcomes/california-imr/behavioral-therapy/mental-disorder
Hysterectomy,hysterectomy,OB-GYN/ Pregnancy,ob-gyn-pregnancy,54,18,0.3333,2002,2018,52,1,1,0,0,https://apellica.com/appeal-outcomes/california-imr/hysterectomy/ob-gyn-pregnancy
Other,other,Not Applicable,not-applicable,54,22,0.4074,2003,2017,39,15,0,0,0,https://apellica.com/appeal-outcomes/california-imr/other/not-applicable
Non-FDA Approved Use,non-fda-approved-use,Mental Disorder,mental-disorder,54,21,0.3889,2003,2009,53,1,0,0,0,https://apellica.com/appeal-outcomes/california-imr/non-fda-approved-use/mental-disorder
