treatment,treatment_slug,diagnosis_category,diagnosis_slug,decisions,overturned,overturn_rate,year_min,year_max,medical_necessity,experimental,urgent,decisions_last_5y,overturned_last_5y,apellica_page
Compression Garments,compression-garments,Orth/Musculoskeletal,orth-musculoskeletal,6,1,0.1667,2016,2024,4,2,0,3,0,https://apellica.com/appeal-outcomes/california-imr/compression-garments/orth-musculoskeletal
Breast Augmentation,breast-augmentation,GU/ Kidney Disorder,gu-kidney-disorder,6,3,0.5000,2020,2024,6,0,0,4,1,https://apellica.com/appeal-outcomes/california-imr/breast-augmentation/gu-kidney-disorder
MRI,mri,Post Surgical Comp,post-surgical-comp,6,4,0.6667,2013,2025,4,2,0,3,1,https://apellica.com/appeal-outcomes/california-imr/mri/post-surgical-comp
Liposuction,liposuction,Infectious Disease,infectious-disease,6,2,0.3333,2004,2018,6,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/liposuction/infectious-disease
Ongoing OON Tx,ongoing-oon-tx,Cancer,cancer,6,3,0.5000,2002,2024,5,1,0,1,1,https://apellica.com/appeal-outcomes/california-imr/ongoing-oon-tx/cancer
Electric Scooter,electric-scooter,Endocrine/Metabolic,endocrine-metabolic,6,0,0.0000,2003,2024,6,0,0,2,0,https://apellica.com/appeal-outcomes/california-imr/electric-scooter/endocrine-metabolic
Early Discharge,early-discharge,Cancer,cancer,6,2,0.3333,2009,2023,6,0,0,2,1,https://apellica.com/appeal-outcomes/california-imr/early-discharge/cancer
Physical Therapy,physical-therapy,Foot Disorder,foot-disorder,6,1,0.1667,2003,2020,6,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/physical-therapy/foot-disorder
Physical Therapy,physical-therapy,GU/ Kidney Disorder,gu-kidney-disorder,6,3,0.5000,2003,2021,5,1,0,1,0,https://apellica.com/appeal-outcomes/california-imr/physical-therapy/gu-kidney-disorder
Anti-inflammatories,anti-inflammatories,Respiratory System,respiratory-system,6,3,0.5000,2004,2025,4,2,0,2,1,https://apellica.com/appeal-outcomes/california-imr/anti-inflammatories/respiratory-system
Colonoscopy,colonoscopy,Digestive System/ GI,digestive-system-gi,6,2,0.3333,2003,2004,6,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/colonoscopy/digestive-system-gi
Urgent Care,urgent-care,GU/ Kidney Disorder,gu-kidney-disorder,6,4,0.6667,2009,2024,0,0,6,1,1,https://apellica.com/appeal-outcomes/california-imr/urgent-care/gu-kidney-disorder
