issuer_name,state,in_network_denied,internal_appeals,appeals_per_1000_denials,appeal_overturn_rate,external_reviews,external_review_overturn_rate,claims_year,apellica_page
Superior Health Plan,TX,1287305,1083,0.8412924675970341,0.5743,62,0.5,2024,https://apellica.com/insurer-denial-rates/texas/superior-health-plan
"MercyCare HMO, Inc.",WI,19105,15,0.7851347814708192,,0,0,2024,https://apellica.com/insurer-denial-rates/wisconsin/mercycare-hmo-inc
Cigna Health and Life Insurance Company,TN,955423,720,0.753592911202682,0.5278,,,2024,https://apellica.com/insurer-denial-rates/tennessee/cigna-health-and-life-insurance-company
Select Health of South Carolina,SC,39520,29,0.7338056680161944,0.5517,0,0,2024,https://apellica.com/insurer-denial-rates/south-carolina/select-health-of-south-carolina
"Community Health Choice, Inc.",TX,1449319,1054,0.7272381028607228,0.2467,26,0.6154,2024,https://apellica.com/insurer-denial-rates/texas/community-health-choice-inc
Blue Cross and Blue Shield of Florida,FL,4251990,3012,0.708374196552673,0.4758,170,0.4588,2024,https://apellica.com/insurer-denial-rates/florida/blue-cross-and-blue-shield-of-florida
Blue Cross and Blue Shield of NC,NC,3116071,2160,0.6931806110964737,0.3606,88,0.5,2024,https://apellica.com/insurer-denial-rates/north-carolina/blue-cross-and-blue-shield-of-nc
"AmeriHealth Caritas North Carolina, Inc.",NC,109227,74,0.677488166845194,0.6351,0,0,2024,https://apellica.com/insurer-denial-rates/north-carolina/amerihealth-caritas-north-carolina-inc
"AmeriHealth Caritas VIP Next, Inc.",DE,46346,31,0.6688818884046088,0.4516,0,0,2024,https://apellica.com/insurer-denial-rates/delaware/amerihealth-caritas-vip-next-inc
Network Health Plan,WI,48655,31,0.6371390401808652,0.3871,0,0,2024,https://apellica.com/insurer-denial-rates/wisconsin/network-health-plan
Ambetter of Magnolia Inc.,MS,1824195,1147,0.6287704987679498,0,0,0,2024,https://apellica.com/insurer-denial-rates/mississippi/ambetter-of-magnolia-inc
"Molina Healthcare of Mississippi, Inc",MS,142847,87,0.609043242070187,0.6207,0,0,2024,https://apellica.com/insurer-denial-rates/mississippi/molina-healthcare-of-mississippi-inc
Highmark BCBSD Inc.,DE,387306,222,0.5731901907019256,0.3063,,,2024,https://apellica.com/insurer-denial-rates/delaware/highmark-bcbsd-inc
Hawaii Medical Service Association,HI,198069,104,0.5250695464711792,0.5,0,0,2024,https://apellica.com/insurer-denial-rates/hawaii/hawaii-medical-service-association
"Molina Healthcare of Ohio, Inc.",OH,428806,216,0.50372429490259,0.5,,,2024,https://apellica.com/insurer-denial-rates/ohio/molina-healthcare-of-ohio-inc
Buckeye Community Health Plan,OH,714834,333,0.4658424193589001,0.5946,,,2024,https://apellica.com/insurer-denial-rates/ohio/buckeye-community-health-plan
BlueCross BlueShield of Tennessee,TN,1323501,587,0.4435206320206785,0.4497,,,2024,https://apellica.com/insurer-denial-rates/tennessee/bluecross-blueshield-of-tennessee
Priority Health,MI,324164,130,0.4010315766093706,0.2154,,,2024,https://apellica.com/insurer-denial-rates/michigan/priority-health
"Aspirus Health Plan, Inc.",WI,47925,19,0.396452790818988,,,,2024,https://apellica.com/insurer-denial-rates/wisconsin/aspirus-health-plan-inc
Cigna Health and Life Insurance Company,MS,691183,257,0.3718262746624266,0.4864,,,2024,https://apellica.com/insurer-denial-rates/mississippi/cigna-health-and-life-insurance-company
Blue Care Network of Michigan,MI,630298,210,0.3331757359217386,0.8571,65,,2024,https://apellica.com/insurer-denial-rates/michigan/blue-care-network-of-michigan
"Health Options, Inc.",FL,10507969,3129,0.2977740037108979,0.4481,153,0.5033,2024,https://apellica.com/insurer-denial-rates/florida/health-options-inc
Highmark Blue Cross Blue Shield West Virginia,WV,471125,130,0.27593526134253116,0.3154,,,2024,https://apellica.com/insurer-denial-rates/west-virginia/highmark-blue-cross-blue-shield-west-virginia
"Molina Healthcare of Florida, Inc",FL,341296,82,0.24026065350897755,0.2317,0,0,2024,https://apellica.com/insurer-denial-rates/florida/molina-healthcare-of-florida-inc
Celtic Insurance Company,NH,133926,31,0.23147111091199618,0.5806,,,2024,https://apellica.com/insurer-denial-rates/new-hampshire/celtic-insurance-company
"AvMed, Inc.",FL,118089,25,0.21170473117733235,,0,0,2024,https://apellica.com/insurer-denial-rates/florida/avmed-inc
"Sendero Health Plans, Inc.",TX,101311,21,0.2072825260830512,0.6667,,,2024,https://apellica.com/insurer-denial-rates/texas/sendero-health-plans-inc
"Taro Health Plan of Oklahoma, Inc.",OK,642,0,0,0,0,0,2024,https://apellica.com/insurer-denial-rates/oklahoma/taro-health-plan-of-oklahoma-inc
Common Ground Healthcare Cooperative,WI,143772,0,0,0,0,0,2024,https://apellica.com/insurer-denial-rates/wisconsin/common-ground-healthcare-cooperative
